url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,127,68
/CAMI-challenge/CAMISIM/wiki/User-manual,100,41
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,50,19
/CAMI-challenge/CAMISIM/issues,31,8
/CAMI-challenge/CAMISIM/wiki/Use-Cases,24,11
/CAMI-challenge/CAMISIM/tree/master/scripts,20,8
/CAMI-challenge/CAMISIM/tree/master,16,7
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,15,9
/CAMI-challenge/CAMISIM/wiki/File-Formats,15,8
/CAMI-challenge/CAMISIM/blob/master/tools/rnammer-1.2/rnammer,13,6
