url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,141,54
/CAMI-challenge/CAMISIM/wiki/User-manual,37,19
/CAMI-challenge/CAMISIM/issues,26,6
/CAMI-challenge/CAMISIM/tree/master,23,7
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,17,8
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic,10,5
/CAMI-challenge/CAMISIM/tree/master/pipelines,10,4
/CAMI-challenge/CAMISIM/commit/b05bcd6d10546f456ef096fe8c0330b60883c566,10,3
/CAMI-challenge/CAMISIM/commits/dev,10,1
/CAMI-challenge/CAMISIM/commits/fix-nanosim-ns,9,2
