time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,2,2,10,6
2026-06-06 00:00:00+00:00,0,0,6,4
2026-06-07 00:00:00+00:00,0,0,4,3
2026-06-08 00:00:00+00:00,3,3,9,5
2026-06-09 00:00:00+00:00,0,0,6,6
2026-06-10 00:00:00+00:00,8,4,14,10
2026-06-11 00:00:00+00:00,5,3,36,15
2026-06-12 00:00:00+00:00,11,6,51,7
2026-06-13 00:00:00+00:00,5,3,9,7
2026-06-14 00:00:00+00:00,1,1,9,5
2026-06-15 00:00:00+00:00,57,26,17,1
2026-06-16 00:00:00+00:00,24,14,15,5
2026-06-17 00:00:00+00:00,2,2,72,9
2026-06-18 00:00:00+00:00,5,3,54,14
