url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,112,51
/CAMI-challenge/CAMISIM/wiki/User-manual,42,26
/CAMI-challenge/CAMISIM/issues,38,13
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,31,6
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,15,8
/CAMI-challenge/CAMISIM/wiki,13,8
/CAMI-challenge/CAMISIM/tree/master/defaults,11,4
/CAMI-challenge/CAMISIM/blob/master/defaults/mini_config.ini,8,5
/CAMI-challenge/CAMISIM/blob/master/metagenome_from_profile.py,8,5
/CAMI-challenge/CAMISIM/wiki/Use-Cases,8,4
