referrer,views_total,views_unique
Google,179,37
github.com,25,6
link.springer.com,23,3
repository.publisso.de,15,5
Bing,6,2
nature.com,5,2
microbiomejournal.biomedcentral.com,4,2
chatgpt.com,4,1
DuckDuckGo,2,2
ncbi.nlm.nih.gov,1,1
