url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,81,39
/CAMI-challenge/CAMISIM/issues,41,11
/CAMI-challenge/CAMISIM/wiki/User-manual,33,20
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,26,4
/CAMI-challenge/CAMISIM/blob/master/tools/rnammer-1.2/rnammer,18,12
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,15,6
/CAMI-challenge/CAMISIM/tree/master/defaults,13,8
/CAMI-challenge/CAMISIM/tree/master/scripts,13,8
/CAMI-challenge/CAMISIM/wiki/Use-Cases,12,8
/CAMI-challenge/CAMISIM/issues/72,8,5
