referrer,views_total,views_unique
Google,266,47
microbiomejournal.biomedcentral.com,50,15
github.com,33,12
repository.publisso.de,15,1
Bing,11,5
cn.bing.com,9,6
statics.teams.cdn.office.net,4,4
overleaf.com,3,1
metagenlab.github.io,2,1
chatgpt.com,2,1
