referrer,views_total,views_unique
Google,46,16
github.com,25,10
Bing,11,4
link.springer.com,6,3
DuckDuckGo,3,1
github-wiki-see.page,3,1
writer.zoho.eu,3,1
statics.teams.cdn.office.net,1,1
