referrer,views_total,views_unique
Google,79,12
github.com,10,5
Bing,6,4
link.springer.com,6,4
github-wiki-see.page,6,2
chatgpt.com,3,2
repository.publisso.de,3,2
microbiomejournal.biomedcentral.com,2,2
nature.com,1,1
search.brave.com,1,1
