url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,89,47
/CAMI-challenge/CAMISIM/wiki/User-manual,25,18
/CAMI-challenge/CAMISIM/wiki/Use-Cases,20,7
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,19,11
/CAMI-challenge/CAMISIM/tree/master,7,6
/CAMI-challenge/CAMISIM/blob/master/README.md,6,5
/CAMI-challenge/CAMISIM/tree/master/pipelines,6,5
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic,5,4
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic/read_simulators,5,3
/CAMI-challenge/CAMISIM/forks,5,2
