time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,18,6,16,9
2026-08-29 00:00:00+00:00,3,2,0,0
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,9,8,11,4
2026-09-01 00:00:00+00:00,14,12,18,8
2026-09-02 00:00:00+00:00,6,6,14,6
2026-09-03 00:00:00+00:00,5,4,42,8
2026-09-04 00:00:00+00:00,1,1,17,11
2026-09-05 00:00:00+00:00,0,0,1,1
2026-09-06 00:00:00+00:00,2,2,5,4
2026-09-07 00:00:00+00:00,5,4,9,6
2026-09-08 00:00:00+00:00,2,2,26,9
2026-09-09 00:00:00+00:00,9,4,42,23
2026-09-10 00:00:00+00:00,9,8,19,12
