url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,89,45
/CAMI-challenge/CAMISIM/wiki/User-manual,25,17
/CAMI-challenge/CAMISIM/wiki/Use-Cases,19,7
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,16,10
/CAMI-challenge/CAMISIM/tree/master,7,6
/CAMI-challenge/CAMISIM/blob/master/README.md,6,5
/CAMI-challenge/CAMISIM/issues,6,3
/CAMI-challenge/CAMISIM/tree/master/pipelines,5,4
/CAMI-challenge/CAMISIM/tree/master/defaults,5,3
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic/read_simulators,5,3
