url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,123,56
/CAMI-challenge/CAMISIM/wiki/User-manual,59,35
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,28,15
/CAMI-challenge/CAMISIM/issues,25,11
/CAMI-challenge/CAMISIM/blob/master/tools/rnammer-1.2/rnammer,15,11
/CAMI-challenge/CAMISIM/tree/master/tools,14,9
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,14,7
/CAMI-challenge/CAMISIM/wiki/File-Formats,13,8
/CAMI-challenge/CAMISIM/wiki/Use-Cases,12,4
/CAMI-challenge/CAMISIM/blob/master/README.md,11,4
