url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,113,57
/CAMI-challenge/CAMISIM/wiki/User-manual,69,30
/CAMI-challenge/CAMISIM/issues,27,11
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,26,9
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,20,10
/CAMI-challenge/CAMISIM/blob/master/tools/rnammer-1.2/rnammer,14,9
/CAMI-challenge/CAMISIM/tree/master,10,6
/CAMI-challenge/CAMISIM/wiki/Use-Cases,9,7
/CAMI-challenge/CAMISIM/tree/master/tools,8,8
/CAMI-challenge/CAMISIM/wiki/File-Formats,8,7
