url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,134,61
/CAMI-challenge/CAMISIM/wiki/User-manual,74,38
/CAMI-challenge/CAMISIM/issues,46,17
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,22,12
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,18,5
/CAMI-challenge/CAMISIM/blob/master/defaults/pbsim_config.ini,17,8
/CAMI-challenge/CAMISIM/tree/dev/pipelines/metagenomic/config,15,4
/CAMI-challenge/CAMISIM/tree/dev,14,7
/CAMI-challenge/CAMISIM/wiki,12,7
/CAMI-challenge/CAMISIM/tree/dev/pipelines/metagenomic,11,4
