url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,108,76
/CAMI-challenge/CAMISIM/wiki/User-manual,58,36
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,23,7
/CAMI-challenge/CAMISIM/wiki/Use-Cases,19,12
/CAMI-challenge/CAMISIM/issues,19,9
/CAMI-challenge/CAMISIM/wiki/File-Formats,15,9
/CAMI-challenge/CAMISIM/commit/5feef3d495fd72b451036097cb9283c6be117189,13,9
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic,9,5
/CAMI-challenge/CAMISIM/tree/master/pipelines,8,5
/CAMI-challenge/CAMISIM/commit/4357c425c995c6738204d8d2e00d7d064b12e303,7,6
