referrer,views_total,views_unique
Google,404,33
Bing,56,6
microbiomejournal.biomedcentral.com,47,8
github.com,24,5
surveillance.cancer.gov,14,1
repository.publisso.de,8,4
cn.bing.com,6,1
github-wiki-see.page,2,1
yandex.ru,1,1
