url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,111,57
/CAMI-challenge/CAMISIM/wiki/User-manual,56,33
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,32,16
/CAMI-challenge/CAMISIM/issues,28,8
/CAMI-challenge/CAMISIM/blob/master/defaults/pbsim_config.ini,15,8
/CAMI-challenge/CAMISIM/wiki/File-Formats,13,8
/CAMI-challenge/CAMISIM/blob/master/tools/rnammer-1.2/rnammer,13,7
/CAMI-challenge/CAMISIM/tree/dev/pipelines,13,3
/CAMI-challenge/CAMISIM/wiki/Use-Cases,10,7
/CAMI-challenge/CAMISIM/issues/213,10,4
