referrer,views_total,views_unique
Google,207,35
Bing,80,9
microbiomejournal.biomedcentral.com,47,10
github.com,35,10
programcreek.com,13,1
link.springer.com,10,2
cn.bing.com,7,3
repository.publisso.de,4,3
chatgpt.com,2,2
DuckDuckGo,2,1
