time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-13 00:00:00+00:00,0,0,27,10
2024-11-14 00:00:00+00:00,0,0,45,11
2024-11-15 00:00:00+00:00,0,0,10,5
2024-11-16 00:00:00+00:00,0,0,3,3
2024-11-17 00:00:00+00:00,0,0,7,5
2024-11-18 00:00:00+00:00,2,2,11,9
2024-11-19 00:00:00+00:00,1,1,16,8
2024-11-20 00:00:00+00:00,0,0,24,9
2024-11-21 00:00:00+00:00,1,1,12,7
2024-11-22 00:00:00+00:00,0,0,40,19
2024-11-23 00:00:00+00:00,1,1,8,6
2024-11-24 00:00:00+00:00,1,1,14,7
2024-11-25 00:00:00+00:00,0,0,10,8
2024-11-26 00:00:00+00:00,0,0,24,16
2024-11-27 00:00:00+00:00,0,0,21,12
2024-11-28 00:00:00+00:00,0,0,10,8
2024-11-29 00:00:00+00:00,0,0,7,7
2024-11-30 00:00:00+00:00,0,0,2,1
2024-12-01 00:00:00+00:00,0,0,6,3
2024-12-02 00:00:00+00:00,0,0,22,16
2024-12-03 00:00:00+00:00,0,0,16,8
2024-12-04 00:00:00+00:00,0,0,27,13
2024-12-05 00:00:00+00:00,0,0,19,11
2024-12-06 00:00:00+00:00,0,0,34,17
2024-12-07 00:00:00+00:00,0,0,6,2
2024-12-08 00:00:00+00:00,0,0,11,4
2024-12-09 00:00:00+00:00,0,0,23,14
2024-12-10 00:00:00+00:00,0,0,50,15
2024-12-11 00:00:00+00:00,0,0,12,6
2024-12-12 00:00:00+00:00,0,0,13,11
2024-12-13 00:00:00+00:00,0,0,16,8
2024-12-14 00:00:00+00:00,0,0,2,2
2024-12-15 00:00:00+00:00,0,0,3,3
2024-12-16 00:00:00+00:00,0,0,10,8
2024-12-17 00:00:00+00:00,1,1,9,5
2024-12-18 00:00:00+00:00,0,0,11,11
2024-12-19 00:00:00+00:00,0,0,13,9
2024-12-20 00:00:00+00:00,0,0,10,7
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,1,1,5,1
2024-12-23 00:00:00+00:00,0,0,9,6
