time_iso8601,stars_cumulative
2021-01-27 00:00:00+00:00,1
2021-02-10 00:00:00+00:00,10
2021-02-11 00:00:00+00:00,11
2021-02-25 00:00:00+00:00,12
2021-04-26 00:00:00+00:00,13
2021-04-28 00:00:00+00:00,14
2021-05-02 00:00:00+00:00,15
2021-08-18 00:00:00+00:00,16
2021-09-30 00:00:00+00:00,17
2021-10-04 00:00:00+00:00,18
2021-11-11 00:00:00+00:00,19
2022-01-05 00:00:00+00:00,20
2022-01-06 00:00:00+00:00,21
2022-02-22 00:00:00+00:00,24
2022-02-23 00:00:00+00:00,26
2022-02-24 00:00:00+00:00,29
2022-02-25 00:00:00+00:00,30
2022-02-27 00:00:00+00:00,31
2022-03-03 00:00:00+00:00,32
2022-03-10 00:00:00+00:00,34
2022-03-23 00:00:00+00:00,35
2022-04-25 00:00:00+00:00,36
2022-05-16 00:00:00+00:00,37
2022-05-26 00:00:00+00:00,38
2022-06-02 00:00:00+00:00,39
2022-06-09 00:00:00+00:00,40
2022-06-29 00:00:00+00:00,41
2022-07-19 00:00:00+00:00,42
2022-08-30 00:00:00+00:00,43
2022-09-26 00:00:00+00:00,44
2022-09-30 00:00:00+00:00,45
2022-10-10 00:00:00+00:00,46
2022-10-18 00:00:00+00:00,47
2022-10-27 00:00:00+00:00,48
2022-11-15 00:00:00+00:00,49
2022-11-17 00:00:00+00:00,50
2022-11-18 00:00:00+00:00,52
2022-11-24 00:00:00+00:00,53
2022-12-05 00:00:00+00:00,54
2023-01-06 00:00:00+00:00,55
2023-03-02 00:00:00+00:00,56
2023-03-03 00:00:00+00:00,57
2023-03-30 00:00:00+00:00,58
2023-04-12 00:00:00+00:00,60
2023-04-22 00:00:00+00:00,61
2023-05-02 00:00:00+00:00,62
2023-05-03 00:00:00+00:00,63
2023-06-28 00:00:00+00:00,64
2023-07-01 00:00:00+00:00,65
2023-07-06 00:00:00+00:00,66
2023-07-13 00:00:00+00:00,67
2023-07-27 00:00:00+00:00,68
2023-08-08 00:00:00+00:00,69
2023-08-18 00:00:00+00:00,70
2023-08-29 00:00:00+00:00,71
2023-09-18 00:00:00+00:00,72
2023-09-21 00:00:00+00:00,73
2023-10-17 00:00:00+00:00,74
2023-11-30 00:00:00+00:00,75
2023-12-14 00:00:00+00:00,76
2024-01-09 00:00:00+00:00,77
2024-01-12 00:00:00+00:00,78
2024-03-07 00:00:00+00:00,79
2024-03-15 00:00:00+00:00,80
2024-03-19 00:00:00+00:00,82
2024-03-23 00:00:00+00:00,83
2024-03-25 00:00:00+00:00,84
2024-03-30 00:00:00+00:00,85
2024-04-02 00:00:00+00:00,86
2024-04-16 00:00:00+00:00,87
2024-05-06 00:00:00+00:00,88
2024-06-03 00:00:00+00:00,89
2024-06-04 00:00:00+00:00,90
2024-06-12 00:00:00+00:00,91
2024-06-13 00:00:00+00:00,92
2024-07-08 00:00:00+00:00,93
2024-07-31 00:00:00+00:00,94
2024-08-19 00:00:00+00:00,95
2024-10-10 00:00:00+00:00,96
2024-10-30 00:00:00+00:00,97
2024-11-07 00:00:00+00:00,98
2024-12-14 00:00:00+00:00,99
2024-12-25 00:00:00+00:00,100
2025-01-14 00:00:00+00:00,101
2025-01-20 00:00:00+00:00,102
2025-01-30 00:00:00+00:00,103
2025-02-12 00:00:00+00:00,104
2025-03-14 00:00:00+00:00,105
2025-04-14 00:00:00+00:00,106
2025-04-18 00:00:00+00:00,107
2025-04-21 00:00:00+00:00,108
2025-05-08 00:00:00+00:00,109
2025-05-16 00:00:00+00:00,110
2025-07-10 00:00:00+00:00,111
2025-07-27 00:00:00+00:00,112
2025-08-05 00:00:00+00:00,113
2025-08-09 00:00:00+00:00,114
2025-09-01 00:00:00+00:00,115
2025-11-24 00:00:00+00:00,116
2026-01-17 00:00:00+00:00,117
2026-01-25 00:00:00+00:00,118
2026-02-03 00:00:00+00:00,119
2026-02-13 00:00:00+00:00,119
