time_iso8601,release,asset,count
2026-02-13 14:01:11.581932+00:00,1.1.1,traitar-1.1.1.tar.gz,155
2026-02-13 14:01:11.581932+00:00,v1.0.4,traitar-1.0.4.tar.gz,14
2026-02-13 14:01:11.581932+00:00,1.0.3,traitar-1.0.3.tar.gz,7
2026-02-13 14:01:11.581932+00:00,v1.0.1,traitar-1.0.1.tar.gz,11
2026-02-13 14:01:11.581932+00:00,v1.0.0,traitar-1.0.0.tar.gz,7
