url_path,views_total,views_unique
/hzi-bifo/traitar,40,26
/hzi-bifo/traitar/blob/master/INSTALL.md,28,9
/hzi-bifo/traitar/tree/master/traitar,19,8
/hzi-bifo/traitar/tree/master/traitar/data,16,5
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,16,4
/hzi-bifo/traitar/blob/master/traitar/traitar,9,4
/hzi-bifo/traitar/tree/master/traitar/data/sample_data/traitar_out/annotation/pfam,9,2
/hzi-bifo/traitar/blob/master/traits.tsv,8,5
/hzi-bifo/traitar/blob/master/README.md,7,3
/hzi-bifo/traitar/tree/master,7,3
