url_path,views_total,views_unique
/hzi-bifo/traitar,34,24
/hzi-bifo/traitar/blob/master/INSTALL.md,17,9
/hzi-bifo/traitar/tree/master/traitar,5,2
/hzi-bifo/traitar/tree/master,4,1
/hzi-bifo/traitar/blob/master/traits.tsv,3,3
/hzi-bifo/traitar/tree/master/traitar/data,2,2
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/traitar_out/phenotype_prediction/phypat/feat_gffs/Listeria_ivanovii_WSLC3009_complete_annotation.gff,1,1
/hzi-bifo/traitar/blob/master/traitar/_version.py,1,1
/hzi-bifo/traitar/releases,1,1
/hzi-bifo/traitar/tree/master/traitar/data/models,1,1
