url_path,views_total,views_unique
/hzi-bifo/traitar,57,33
/hzi-bifo/traitar/blob/master/INSTALL.md,35,12
/hzi-bifo/traitar/tree/master/traitar,29,10
/hzi-bifo/traitar/tree/master/traitar/data,20,7
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,20,6
/hzi-bifo/traitar/blob/master/README.md,12,3
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/samples.txt,11,4
/hzi-bifo/traitar/blob/master/traitar/traitar,10,5
/hzi-bifo/traitar/blob/master/traits.tsv,9,6
/hzi-bifo/traitar/blob/master/Dockerfile,9,5
