time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,0,0,29,12
2026-03-12 00:00:00+00:00,0,0,7,5
2026-03-13 00:00:00+00:00,3,3,19,14
2026-03-14 00:00:00+00:00,4,4,2,2
2026-03-15 00:00:00+00:00,0,0,1,1
2026-03-16 00:00:00+00:00,3,3,59,5
2026-03-17 00:00:00+00:00,1,1,12,9
2026-03-18 00:00:00+00:00,1,1,26,12
2026-03-19 00:00:00+00:00,0,0,13,11
2026-03-20 00:00:00+00:00,0,0,8,7
2026-03-21 00:00:00+00:00,0,0,1,1
2026-03-22 00:00:00+00:00,2,2,4,1
2026-03-23 00:00:00+00:00,1,1,17,11
2026-03-24 00:00:00+00:00,2,2,16,11
