referrer,views_total,views_unique
Google,93,29
github.com,11,4
Bing,10,6
DuckDuckGo,3,1
academic.oup.com,3,1
safe.menlosecurity.com,2,2
elearning.unideb.hu,2,1
perplexity.ai,1,1
www-app.igb.illinois.edu,1,1
