url_path,views_total,views_unique
/hzi-bifo/RiboDetector,74,43
/hzi-bifo/RiboDetector/tree/pip/ribodetector,8,4
/hzi-bifo/RiboDetector/blob/pip/setup.py,4,4
/hzi-bifo/RiboDetector/tree/pip/ribodetector/model,4,4
/hzi-bifo/RiboDetector/issues,4,2
/hzi-bifo/RiboDetector/pulls,3,1
/hzi-bifo/RiboDetector/tree/pip/ribodetector/data,2,2
/hzi-bifo/RiboDetector/blob/pip/README.md,1,1
/hzi-bifo/RiboDetector/blob/pip/ribodetector/data/ribodetector_600k_variable_len70_101_epoch47.onnx,1,1
/hzi-bifo/RiboDetector/blob/pip/ribodetector/model/model.py,1,1
