referrer,views_total,views_unique
Google,76,39
academic.oup.com,22,16
Bing,11,5
DuckDuckGo,4,1
github.com,3,3
githubissues.com,2,2
helmholtz.software,1,1
servicedesk.lisc.univie.ac.at,1,1
