referrer,views_total,views_unique
Google,78,29
academic.oup.com,21,11
ncbi.nlm.nih.gov,3,3
Bing,3,2
cn.bing.com,1,1
academic-oup-com.prox.lib.ncsu.edu,1,1
github.com,1,1
hub.docker.com,1,1
