time_iso8601,forks_cumulative
2018-05-30 00:00:00+00:00,1
2018-06-25 00:00:00+00:00,2
2019-03-04 00:00:00+00:00,3
2021-08-11 00:00:00+00:00,4
2021-09-08 00:00:00+00:00,5
2023-03-01 00:00:00+00:00,6
