time_iso8601,forks_cumulative
2024-10-28 00:00:00+00:00,1
2025-01-29 00:00:00+00:00,2
2025-09-22 00:00:00+00:00,3
2026-02-16 00:00:00+00:00,4
2026-03-29 00:00:00+00:00,5
