time_iso8601,forks_cumulative
2020-01-08 00:00:00+00:00,1
2021-02-23 00:00:00+00:00,2
2021-12-04 00:00:00+00:00,3
2023-03-26 00:00:00+00:00,4
2025-10-29 00:00:00+00:00,5
