time_iso8601,stargazers_cumulative_snapshot
2026-02-13 12:25:41+00:00,221
2026-02-20 23:41:55+00:00,222
2026-02-27 23:37:06+00:00,223
2026-03-08 23:36:57+00:00,222
2026-03-30 23:47:31+00:00,223
