time_iso8601,stars_cumulative
2017-02-08 00:00:00+00:00,1
2017-10-03 00:00:00+00:00,2
2018-01-09 00:00:00+00:00,3
2018-04-14 00:00:00+00:00,4
2018-04-15 00:00:00+00:00,6
2018-04-16 00:00:00+00:00,7
2018-05-15 00:00:00+00:00,8
2018-07-08 00:00:00+00:00,9
2018-08-09 00:00:00+00:00,10
2018-08-16 00:00:00+00:00,11
2018-10-11 00:00:00+00:00,12
2019-01-22 00:00:00+00:00,13
2019-01-31 00:00:00+00:00,14
2019-02-10 00:00:00+00:00,15
2019-02-11 00:00:00+00:00,17
2019-02-12 00:00:00+00:00,18
2019-02-19 00:00:00+00:00,19
2019-02-21 00:00:00+00:00,20
2019-03-03 00:00:00+00:00,21
2019-04-01 00:00:00+00:00,22
2019-04-02 00:00:00+00:00,23
2019-04-10 00:00:00+00:00,24
2019-04-14 00:00:00+00:00,25
2019-04-25 00:00:00+00:00,27
2019-04-30 00:00:00+00:00,30
2019-05-02 00:00:00+00:00,31
2019-05-12 00:00:00+00:00,32
2019-05-27 00:00:00+00:00,33
2019-05-29 00:00:00+00:00,34
2019-06-18 00:00:00+00:00,35
2019-06-25 00:00:00+00:00,36
2019-07-09 00:00:00+00:00,37
2019-08-26 00:00:00+00:00,38
2019-09-02 00:00:00+00:00,39
2019-09-21 00:00:00+00:00,40
2019-11-04 00:00:00+00:00,41
2020-02-06 00:00:00+00:00,42
2020-03-30 00:00:00+00:00,43
2020-04-22 00:00:00+00:00,44
2020-05-13 00:00:00+00:00,46
2020-05-19 00:00:00+00:00,47
2020-06-05 00:00:00+00:00,48
2020-07-07 00:00:00+00:00,49
2020-07-08 00:00:00+00:00,50
2020-08-19 00:00:00+00:00,51
2020-08-20 00:00:00+00:00,52
2020-09-28 00:00:00+00:00,53
2020-10-19 00:00:00+00:00,54
2020-10-26 00:00:00+00:00,55
2020-11-07 00:00:00+00:00,56
2020-11-13 00:00:00+00:00,57
2020-12-03 00:00:00+00:00,58
2021-03-01 00:00:00+00:00,59
2021-04-07 00:00:00+00:00,60
2021-04-11 00:00:00+00:00,61
2021-05-25 00:00:00+00:00,62
2021-06-14 00:00:00+00:00,63
2021-07-11 00:00:00+00:00,64
2021-07-26 00:00:00+00:00,65
2021-08-24 00:00:00+00:00,66
2021-09-09 00:00:00+00:00,67
2021-10-23 00:00:00+00:00,68
2021-11-19 00:00:00+00:00,69
2021-11-23 00:00:00+00:00,70
2021-12-01 00:00:00+00:00,71
2022-01-24 00:00:00+00:00,72
2022-01-25 00:00:00+00:00,73
2022-01-27 00:00:00+00:00,74
2022-02-09 00:00:00+00:00,75
2022-03-11 00:00:00+00:00,76
2022-03-29 00:00:00+00:00,77
2022-03-31 00:00:00+00:00,79
2022-04-18 00:00:00+00:00,80
