url_path,views_total,views_unique
/CAMI-challenge/AMBER,50,16
/CAMI-challenge/AMBER/issues,11,4
/CAMI-challenge/AMBER/blob/master/test/gsa_mapping.binning,7,4
/CAMI-challenge/AMBER/tree/master/test,7,2
/CAMI-challenge/AMBER/blob/master/requirements.txt,6,2
/CAMI-challenge/AMBER/blob/master/tutorial.txt,5,2
/CAMI-challenge/AMBER/issues/60,5,1
/CAMI-challenge/AMBER/tree/master/cami_amber,4,3
/CAMI-challenge/AMBER/tree/master/cami_ii_mouse_gut,3,2
/CAMI-challenge/AMBER/blob/master/test/goofy_hypatia_2,3,1
