time_iso8601,forks_cumulative
2018-01-02 00:00:00+00:00,1
2019-04-16 00:00:00+00:00,2
2019-08-30 00:00:00+00:00,3
2021-08-11 00:00:00+00:00,4
2022-06-24 00:00:00+00:00,5
2024-02-22 00:00:00+00:00,6
2024-08-25 00:00:00+00:00,7
