time_iso8601,stars_cumulative
2016-03-05 00:00:00+00:00,1
2016-03-14 00:00:00+00:00,4
2016-07-22 00:00:00+00:00,5
2016-07-26 00:00:00+00:00,6
2016-09-12 00:00:00+00:00,7
2016-12-27 00:00:00+00:00,8
2016-12-28 00:00:00+00:00,9
2016-12-29 00:00:00+00:00,11
2017-01-06 00:00:00+00:00,12
2017-01-23 00:00:00+00:00,13
2017-03-05 00:00:00+00:00,14
2017-03-06 00:00:00+00:00,15
2017-08-04 00:00:00+00:00,16
2017-11-22 00:00:00+00:00,17
2017-11-23 00:00:00+00:00,18
2017-12-09 00:00:00+00:00,19
2018-01-31 00:00:00+00:00,20
2018-03-26 00:00:00+00:00,21
2019-02-05 00:00:00+00:00,22
2019-04-19 00:00:00+00:00,23
2019-08-26 00:00:00+00:00,24
2019-11-15 00:00:00+00:00,25
2020-04-05 00:00:00+00:00,26
2020-05-26 00:00:00+00:00,27
2020-08-10 00:00:00+00:00,28
2020-10-28 00:00:00+00:00,29
2021-01-06 00:00:00+00:00,30
2021-01-28 00:00:00+00:00,31
2021-05-24 00:00:00+00:00,32
2021-08-07 00:00:00+00:00,33
2022-06-15 00:00:00+00:00,34
2022-06-22 00:00:00+00:00,35
2022-08-21 00:00:00+00:00,36
2022-09-21 00:00:00+00:00,37
2022-09-27 00:00:00+00:00,38
2022-12-04 00:00:00+00:00,39
2023-01-22 00:00:00+00:00,40
2023-03-16 00:00:00+00:00,41
2023-03-22 00:00:00+00:00,42
2023-04-10 00:00:00+00:00,43
2023-05-13 00:00:00+00:00,44
2023-06-05 00:00:00+00:00,46
2023-06-16 00:00:00+00:00,47
2023-08-31 00:00:00+00:00,48
2023-10-31 00:00:00+00:00,49
2023-11-09 00:00:00+00:00,50
2023-12-15 00:00:00+00:00,51
2024-01-05 00:00:00+00:00,52
2024-01-29 00:00:00+00:00,53
2024-02-11 00:00:00+00:00,54
2024-08-29 00:00:00+00:00,55
2024-09-12 00:00:00+00:00,56
2024-12-05 00:00:00+00:00,57
2025-04-02 00:00:00+00:00,58
2025-04-09 00:00:00+00:00,59
2025-09-04 00:00:00+00:00,60
2025-09-25 00:00:00+00:00,61
2025-12-11 00:00:00+00:00,62
2025-12-17 00:00:00+00:00,63
2025-12-18 00:00:00+00:00,64
2026-01-14 00:00:00+00:00,65
