url_path,views_total,views_unique
/CAMI-challenge/CAMITAX/blob/master/db/README.md,15,1
/CAMI-challenge/CAMITAX/blob/master/init.nf,11,1
/CAMI-challenge/CAMITAX,8,6
/CAMI-challenge/CAMITAX/blob/master/requirements.txt,5,1
/CAMI-challenge/CAMITAX/blob/master/main.nf,2,2
/CAMI-challenge/CAMITAX/blob/master/workflow.png,2,1
/CAMI-challenge/CAMITAX/blob/master/nextflow.config,1,1
/CAMI-challenge/CAMITAX/blob/master/README.md,1,1
/CAMI-challenge/CAMITAX/commit/1f7686203334fb35820f80ad730d1ed804568634,1,1
/CAMI-challenge/CAMITAX/commit/9701a506ed458ff409986ff633fe91bdf5487d55,1,1
