url_path,views_total,views_unique
/gi-bielefeld/sans,33,9
/gi-bielefeld/sans/commits/clowm-integration,10,1
/gi-bielefeld/sans/tree/clowm-integration,6,2
/gi-bielefeld/sans/commits/master,5,1
/gi-bielefeld/sans/blob/clowm-integration/Dockerfile,3,2
/gi-bielefeld/sans/tree/clowm-integration/clowm,3,2
/gi-bielefeld/sans/actions,3,1
/gi-bielefeld/sans/blob/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4/clowm/clowm_info.json,2,1
/gi-bielefeld/sans/tree/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4,2,1
/gi-bielefeld/sans/tree/96b92c4cc9fe4e1f9f8e58e2d9ff8d38e98a4af4/clowm,2,1
